ลำดับ,อาชีพในปัจจุบัน ท่านทำมานานเท่าใด,ก่อนหน้าที่ท่านทำงานในปัจจุบันท่านเคยทำงาน/ประกอบอาชีพหรือไม่,ท่านอยากทำงานในระบบหรือองค์กรณ์ที่มีระบบสวัสดิการหรือไม่,ท่านเคยโดนดูถูก / ไม่ได้รับการยอมรับจากการทำงานหรือไม่,อะไรคือความสำเร็จในชีวิตการทำงานในอนาคตของท่าน,อื่นๆ
178785,,ไม่เคยทำงานมาก่อน,ไม่อยาก,,,นวดแผนไทย
181266,,ไม่เคยทำงานมาก่อน,ไม่อยาก,,,นวดแผนไทย
184101,5,ไม่เคยทำงานมาก่อน,อยาก,ไม่เคย,ไม่ได้ตั้งเป้าหมาย,หมอนวดแผนโบราณ
188976,4,ไม่เคยทำงานมาก่อน,อยาก,ไม่เคย,,นวดเเผนโบราณ
192689,10,เคย,ไม่อยาก,เคย,หมดภาระหนี้สิน,นวด
199562,,ไม่เคยทำงานมาก่อน,ไม่อยาก,ไม่เคย,ไม่ได้ตั้งเป้าหมาย,นวดแผนไทย
205134,4,เคย,อยาก,ไม่เคย,ได้รับการยอมรับ/ยกย่อง,นวดผ่อนคลาย
205152,1,เคย,ไม่อยาก,เคย,หมดภาระหนี้สิน,นวดแผนไทย
205168,5,เคย,อยาก,เคย,รายได้เพิ่มขึ้น,นวดแผนไทย
207702,,เคย,ไม่อยาก,ไม่เคย,ไม่ได้ตั้งเป้าหมาย,นวดแผนไทย
212758,,ไม่เคยทำงานมาก่อน,ไม่อยาก,ไม่เคย,ไม่ได้ตั้งเป้าหมาย,นวด
218432,5,ไม่เคยทำงานมาก่อน,อยาก,ไม่เคย,ไม่ได้ตั้งเป้าหมาย,นวดแผนไทย
221015,2,เคย,อยาก,ไม่เคย,รายได้เพิ่มขึ้น,ทำงานร้านนวด
222431,15,เคย,ไม่อยาก,ไม่เคย,มีบ้าน/มีรถ,หมอนวด
229277,6,เคย,ไม่อยาก,ไม่เคย,ไม่ได้ตั้งเป้าหมาย,หมอนวด
230470,3,เคย,อยาก,ไม่เคย,ได้รับการยอมรับ/ยกย่อง,นวดแผนไทย
231550,8,ไม่เคยทำงานมาก่อน,อยาก,ไม่เคย,ไม่ได้ตั้งเป้าหมาย,หมอนวด
239949,10,เคย,ไม่อยาก,ไม่เคย,มีบ้าน/มีรถ,นวดเพื่อสุขภาพ
246005,20,ไม่เคยทำงานมาก่อน,ไม่อยาก,ไม่เคย,ไม่ได้ตั้งเป้าหมาย,นวดแผนโบราณ
251641,,ไม่เคยทำงานมาก่อน,อยาก,ไม่เคย,รายได้เพิ่มขึ้น,บัญชีนวด
251645,,ไม่เคยทำงานมาก่อน,อยาก,ไม่เคย,รายได้เพิ่มขึ้น,เคาร์เตอร์นวด
251649,,ไม่เคยทำงานมาก่อน,อยาก,ไม่เคย,รายได้เพิ่มขึ้น,นวดแผนไทย
251658,,ไม่เคยทำงานมาก่อน,อยาก,ไม่เคย,รายได้เพิ่มขึ้น,นวดแผนไทย
251663,,ไม่เคยทำงานมาก่อน,อยาก,ไม่เคย,รายได้เพิ่มขึ้น,นวดแผนไทย
251665,,ไม่เคยทำงานมาก่อน,อยาก,ไม่เคย,รายได้เพิ่มขึ้น,นวดแผนไทย
251669,,ไม่เคยทำงานมาก่อน,อยาก,ไม่เคย,รายได้เพิ่มขึ้น,นวดแผนไทย
251813,,ไม่เคยทำงานมาก่อน,อยาก,ไม่เคย,รายได้เพิ่มขึ้น,นวดเเผนไทย
251819,,ไม่เคยทำงานมาก่อน,อยาก,ไม่เคย,รายได้เพิ่มขึ้น,นวดเเผนไทย
251825,,ไม่เคยทำงานมาก่อน,อยาก,ไม่เคย,รายได้เพิ่มขึ้น,นวดเเผนไทย
251828,,ไม่เคยทำงานมาก่อน,อยาก,ไม่เคย,รายได้เพิ่มขึ้น,นวดเเผนไทย
251833,,ไม่เคยทำงานมาก่อน,อยาก,ไม่เคย,รายได้เพิ่มขึ้น,นวดเเผนไทย
252645,24,เคย,อยาก,ไม่เคย,รายได้เพิ่มขึ้น,หมอนวด
253108,,ไม่เคยทำงานมาก่อน,อยาก,ไม่เคย,รายได้เพิ่มขึ้น,นวดแผนไทย
253115,,ไม่เคยทำงานมาก่อน,อยาก,ไม่เคย,รายได้เพิ่มขึ้น,นวดแผนไทย
253125,,ไม่เคยทำงานมาก่อน,อยาก,ไม่เคย,รายได้เพิ่มขึ้น,นวดแผนไทย
253133,,ไม่เคยทำงานมาก่อน,อยาก,ไม่เคย,รายได้เพิ่มขึ้น,นวดแผนไทย
253136,,ไม่เคยทำงานมาก่อน,อยาก,ไม่เคย,รายได้เพิ่มขึ้น,นวดแผนไทย
253144,,ไม่เคยทำงานมาก่อน,อยาก,ไม่เคย,รายได้เพิ่มขึ้น,นวดแผนไทย
253151,,ไม่เคยทำงานมาก่อน,อยาก,ไม่เคย,รายได้เพิ่มขึ้น,นวดแผนไทย
253154,,ไม่เคยทำงานมาก่อน,อยาก,ไม่เคย,รายได้เพิ่มขึ้น,นวดแผนไทย
253161,,ไม่เคยทำงานมาก่อน,อยาก,ไม่เคย,รายได้เพิ่มขึ้น,นวดแผนไทย
271780,10,ไม่เคยทำงานมาก่อน,ไม่อยาก,ไม่เคย,ไม่ได้ตั้งเป้าหมาย,นวดแผนไทย
281654,7,เคย,อยาก,ไม่เคย,ไม่ได้ตั้งเป้าหมาย,นวด
289230,4,เคย,ไม่อยาก,ไม่เคย,ไม่ได้ตั้งเป้าหมาย,หมอนวด
292218,20,เคย,ไม่อยาก,ไม่เคย,ไม่ได้ตั้งเป้าหมาย,หมอนวด
292685,,ไม่เคยทำงานมาก่อน,ไม่อยาก,ไม่เคย,บุตรหลานสำเร็จการศึกษา,หมอนวดแผนไทย
301638,20,เคย,ไม่อยาก,เคย,รายได้เพิ่มขึ้น,นวดแผนไทย
302105,,ไม่เคยทำงานมาก่อน,อยาก,ไม่เคย,รายได้เพิ่มขึ้น,หมอนวด
304909,8,ไม่เคยทำงานมาก่อน,ไม่อยาก,ไม่เคย,ขยายกิจการ,นวดแผนไทย
306639,10,ไม่เคยทำงานมาก่อน,ไม่อยาก,ไม่เคย,ไม่ได้ตั้งเป้าหมาย,หมอนวด
307024,6,เคย,ไม่อยาก,ไม่เคย,เป็นเจ้าของกิจการ,พนักงานนวด
307284,10,เคย,อยาก,ไม่เคย,ได้รับการยอมรับ/ยกย่อง,นวดแผนไทย
309989,10,ไม่เคยทำงานมาก่อน,ไม่อยาก,ไม่เคย,ไม่ได้ตั้งเป้าหมาย,หมอนวด
312308,10,ไม่เคยทำงานมาก่อน,ไม่อยาก,ไม่เคย,ไม่ได้ตั้งเป้าหมาย,หมอนวด
316430,11,เคย,ไม่อยาก,ไม่เคย,ไม่ได้ตั้งเป้าหมาย,นวดแผนไทย
317206,3,เคย,อยาก,ไม่เคย,ไม่ได้ตั้งเป้าหมาย,นวดแผนไทย
318627,11,ไม่เคยทำงานมาก่อน,อยาก,ไม่เคย,ไม่ได้ตั้งเป้าหมาย,นวด
318643,1,ไม่เคยทำงานมาก่อน,อยาก,ไม่เคย,ไม่ได้ตั้งเป้าหมาย,นวด
320698,0,ไม่เคยทำงานมาก่อน,ไม่อยาก,ไม่เคย,เป็นเจ้าของกิจการ,หมอนวด
321072,5,เคย,ไม่อยาก,ไม่เคย,หมดภาระหนี้สิน,งานนวด
325348,2,เคย,อยาก,ไม่เคย,ไม่ได้ตั้งเป้าหมาย,พนักงานหมอนวด
326579,15,ไม่เคยทำงานมาก่อน,ไม่อยาก,ไม่เคย,เป็นเจ้าของกิจการ,นวดแผนไทยโบราณ
326820,5,ไม่เคยทำงานมาก่อน,ไม่อยาก,ไม่เคย,รายได้เพิ่มขึ้น,นวดแผนไทย
331834,,ไม่เคยทำงานมาก่อน,อยาก,,,หมอนวดแผนโบราณ
331856,,ไม่เคยทำงานมาก่อน,อยาก,,,นวดแผนโบราณ
342327,5,เคย,อยาก,ไม่เคย,เป็นเจ้าของกิจการ,นวดแผนไทย
348248,10,ไม่เคยทำงานมาก่อน,ไม่อยาก,ไม่เคย,รายได้เพิ่มขึ้น,นวดแผนไทย
377852,10,เคย,อยาก,ไม่เคย,ไม่ได้ตั้งเป้าหมาย,นวดสปา
386676,20,ไม่เคยทำงานมาก่อน,ไม่อยาก,ไม่เคย,ไม่ได้ตั้งเป้าหมาย,หมอนวดช่วยรักษาความปวดเมื่อย
402841,10,ไม่เคยทำงานมาก่อน,อยาก,เคย,รายได้เพิ่มขึ้น,นวดแผนโบราณ
413610,7,เคย,ไม่อยาก,เคย,เป็นเจ้าของกิจการ,หมอนวด
426845,10,ไม่เคยทำงานมาก่อน,ไม่อยาก,ไม่เคย,รายได้เพิ่มขึ้น,นวดแผนไทย
427505,5,ไม่เคยทำงานมาก่อน,อยาก,ไม่เคย,รายได้เพิ่มขึ้น,นวดแผนไทย
443486,15,เคย,ไม่อยาก,ไม่เคย,รายได้เพิ่มขึ้น,นวดแผนไทย
446061,10,เคย,อยาก,ไม่เคย,ไม่ได้ตั้งเป้าหมาย,รับจ้างนวดแผนไทย
446087,10,เคย,อยาก,ไม่เคย,ไม่ได้ตั้งเป้าหมาย,รับจ้างนวดแผนไทย
496577,15,ไม่เคยทำงานมาก่อน,ไม่อยาก,ไม่เคย,ไม่ได้ตั้งเป้าหมาย,หมอนวดแผนโบราณ
497583,5,ไม่เคยทำงานมาก่อน,ไม่อยาก,ไม่เคย,ไม่ได้ตั้งเป้าหมาย,นวดแผนโบราณ
505789,10,เคย,อยาก,,ไม่ได้ตั้งเป้าหมาย,นวดแผนไทย
506652,11,เคย,อยาก,เคย,ไม่ได้ตั้งเป้าหมาย,นวดแผนไทย
522269,10,ไม่เคยทำงานมาก่อน,ไม่อยาก,ไม่เคย,ไม่ได้ตั้งเป้าหมาย,หมอนวด
526692,20,ไม่เคยทำงานมาก่อน,ไม่อยาก,ไม่เคย,เป็นเจ้าของกิจการ,หมอนวด
527436,15,เคย,ไม่อยาก,ไม่เคย,รายได้เพิ่มขึ้น,บริการนวดตามบ้าน
538822,6,เคย,อยาก,ไม่เคย,รายได้เพิ่มขึ้น,นวดแผนไทย
550923,20,เคย,อยาก,ไม่เคย,รายได้เพิ่มขึ้น,นวดแผนไทย
560824,20,ไม่เคยทำงานมาก่อน,ไม่อยาก,ไม่เคย,หมดภาระหนี้สิน,นวดแผนไทย
